,Data,Hora UTC,"PRECIPITAÃÃO TOTAL, HORÃRIO (mm)",latitude,longitude,codigo,geometry
54,2019-01-03,1800 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
55,2019-01-03,1700 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
56,2019-01-03,1600 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
57,2019-01-03,1400 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
58,2019-01-03,1300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
59,2019-01-03,0100 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
60,2019-01-03,0000 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
61,2019-01-03,1200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
62,2019-01-03,0200 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
63,2019-01-03,0300 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
64,2019-01-03,0500 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
65,2019-01-03,0400 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
66,2019-01-03,0700 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
67,2019-01-03,0800 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
68,2019-01-03,0900 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
69,2019-01-03,1000 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
70,2019-01-03,1100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
71,2019-01-03,0600 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
72,2019-01-04,1700 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
73,2019-01-04,1500 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
74,2019-01-04,1600 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
75,2019-01-04,1800 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
76,2019-01-04,1400 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
77,2019-01-04,2000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
78,2019-01-04,2100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
79,2019-01-04,2200 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
80,2019-01-04,2300 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
81,2019-01-04,1900 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
82,2019-01-04,1300 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
83,2019-01-04,0100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
84,2019-01-04,1100 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
85,2019-01-04,1200 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
86,2019-01-04,0200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
87,2019-01-04,0300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
88,2019-01-04,0400 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
89,2019-01-04,0500 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
90,2019-01-04,0000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
91,2019-01-04,0700 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
92,2019-01-04,0800 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
93,2019-01-04,0900 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
94,2019-01-04,1000 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
95,2019-01-04,0600 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
96,2019-01-05,1400 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
97,2019-01-05,2300 UTC,",2",-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
98,2019-01-05,2200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
99,2019-01-05,2100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
100,2019-01-05,2000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
101,2019-01-05,1900 UTC,",2",-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
102,2019-01-05,1800 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
103,2019-01-05,1700 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
104,2019-01-05,1600 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
105,2019-01-05,1500 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
106,2019-01-05,1300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
107,2019-01-05,1200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
108,2019-01-05,1100 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
109,2019-01-05,0000 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
110,2019-01-05,0200 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
111,2019-01-05,0300 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
112,2019-01-05,0400 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
113,2019-01-05,0500 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
114,2019-01-05,0100 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
115,2019-01-05,0700 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
116,2019-01-05,0800 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
117,2019-01-05,0900 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
118,2019-01-05,1000 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
119,2019-01-05,0600 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
120,2019-01-06,1500 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
121,2019-01-06,2300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
122,2019-01-06,2200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
123,2019-01-06,2100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
124,2019-01-06,2000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
125,2019-01-06,1900 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
126,2019-01-06,1800 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
127,2019-01-06,1700 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
128,2019-01-06,1600 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
129,2019-01-06,1400 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
130,2019-01-06,1300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
131,2019-01-06,0100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
132,2019-01-06,0000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
133,2019-01-06,1200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
134,2019-01-06,0200 UTC,"6,8",-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
135,2019-01-06,0300 UTC,15,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
136,2019-01-06,0500 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
137,2019-01-06,0400 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
138,2019-01-06,0700 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
139,2019-01-06,0800 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
140,2019-01-06,0900 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
141,2019-01-06,1000 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
142,2019-01-06,1100 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
143,2019-01-06,0600 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
144,2019-01-07,1700 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
145,2019-01-07,1500 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
146,2019-01-07,1600 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
147,2019-01-07,1800 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
148,2019-01-07,1400 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
149,2019-01-07,2000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
150,2019-01-07,2100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
151,2019-01-07,2200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
152,2019-01-07,2300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
153,2019-01-07,1900 UTC,",8",-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
154,2019-01-07,1300 UTC,",2",-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
155,2019-01-07,0000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
156,2019-01-07,1100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
157,2019-01-07,1200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
158,2019-01-07,0200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
159,2019-01-07,0300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
160,2019-01-07,0400 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
161,2019-01-07,0500 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
162,2019-01-07,0100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
163,2019-01-07,0700 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
164,2019-01-07,0800 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
165,2019-01-07,0900 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
166,2019-01-07,1000 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
167,2019-01-07,0600 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
168,2019-01-08,1500 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
169,2019-01-08,2300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
170,2019-01-08,2200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
171,2019-01-08,2100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
172,2019-01-08,2000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
